stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
6013,6013,Borden Station,,  43.442387, -80.475368,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,1
6014,6014,Mill Station,,  43.433638, -80.477960,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,1
6015,6015,Block Line Station,,  43.422733, -80.463085,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,1
6016,6016,Fairway Station,,  43.422295, -80.441812,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,1
6017,6017,Sportsworld Station,,  43.410252, -80.393138,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_SPW,1,
6019,6019,Pinebush Station,,  43.407581, -80.328185,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6020,6020,Cambridge Centre Station,,  43.392605, -80.322274,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CBC,1,
6021,6021,Can-Amera Station,,  43.385250, -80.321055,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6022,6022,Delta Station,,  43.373714, -80.318833,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6023,6023,Pinebush Station,,  43.407203, -80.328043,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6024,6024,Fairway Station,,  43.422366, -80.442130,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_FVM,1,3
6101,6101,Ainslie Terminal,,  43.357642, -80.313444,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_AST,1,
6102,6102,Delta Station,,  43.372830, -80.318223,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6103,6103,Can-Amera Station,,  43.386523, -80.321010,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6104,6104,Cambridge Centre Station,,  43.392708, -80.322961,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CBC,1,
6105,6105,Pinebush Station,,  43.407749, -80.327774,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6107,6107,Sportsworld Station,,  43.410002, -80.393307,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_SPW,1,
6108,6108,Fairway Station,,  43.422355, -80.441840,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6109,6109,Block Line Station,,  43.422825, -80.462926,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6110,6110,Mill Station,,  43.433656, -80.477913,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6111,6111,Borden Station,,  43.442419, -80.475361,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6112,6112,Kitchener Market Station,,  43.446324, -80.483605,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6113,6113,Frederick Station,,  43.449631, -80.487358,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6114,6114,Kitchener City Hall Station,,  43.451941, -80.490831,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6115,6115,Central Station,,  43.453262, -80.499049,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6116,6116,Grand River Hospital Station,,  43.457300, -80.512034,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_GRH,1,2
6117,6117,Allen Station,,  43.459849, -80.518345,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6118,6118,Waterloo Public Square Station,,  43.464142, -80.523000,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
6119,6119,Laurier-Waterloo Park Station,,  43.468879, -80.534397,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6120,6120,University Of Waterloo Station,,  43.473404, -80.541294,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
