route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10,10-Holiday1-1-23WINT-0000001,3128103,Conestoga College via Mill,1,332153,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128104,Conestoga College via Mill,1,332152,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128105,Conestoga College via Mill,1,332155,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128106,Conestoga College via Mill,1,332154,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128107,Conestoga College via Mill,1,332156,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128108,Conestoga College via Mill,1,332156,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128109,Conestoga College via Mill,1,332153,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128110,Conestoga College via Mill,1,332153,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128111,Conestoga College via Mill,1,332152,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128112,Conestoga College via Mill,1,332156,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128113,Conestoga College via Mill,1,332155,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128114,Conestoga College via Mill,1,332152,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128115,Conestoga College via Mill,1,332154,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128116,Conestoga College via Mill,1,332154,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128117,Conestoga College via Mill,1,332155,100006,1,1
10,10-Holiday1-1-23WINT-0000001,3128118,Fairway Station via Mill,0,332155,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128119,Fairway Station via Mill,0,332154,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128120,Fairway Station via Mill,0,332156,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128121,Fairway Station via Mill,0,332153,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128122,Fairway Station via Mill,0,332152,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128123,Fairway Station via Mill,0,332155,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128124,Fairway Station via Mill,0,332154,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128125,Fairway Station via Mill,0,332156,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128126,Fairway Station via Mill,0,332153,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128127,Fairway Station via Mill,0,332152,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128128,Fairway Station via Mill,0,332155,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128129,Fairway Station via Mill,0,332154,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128130,Fairway Station via Mill,0,332156,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128131,Fairway Station via Mill,0,332153,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128132,Fairway Station via Mill,0,332152,100008,1,1
10,10-Holiday1-1-23WINT-0000001,3128133,Fairway Station via Mill,0,332155,100008,1,1
10,10-Saturday-1-23WINT-0000010,3123700,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123701,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123702,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123703,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123704,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123705,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123706,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123707,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123708,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123709,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123710,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123711,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123712,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123713,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123714,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123715,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123716,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123717,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123718,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123719,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123720,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123721,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123722,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123723,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123724,Conestoga College via Mill,1,331707,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123725,Conestoga College via Mill,1,331708,100006,1,1
10,10-Saturday-1-23WINT-0000010,3123726,Conestoga College via Mill,1,331707,100006,1,1
