service_id,date,exception_type
110-Weekday-1-23WINT-1111100,20230306,1
110-Weekday-1-23WINT-1111100,20230307,1
110-Weekday-1-23WINT-1111100,20230308,1
110-Weekday-1-23WINT-1111100,20230309,1
110-Weekday-1-23WINT-1111100,20230310,1
110-Weekday-1-23WINT-1111100,20230313,1
110-Weekday-1-23WINT-1111100,20230314,1
110-Weekday-1-23WINT-1111100,20230315,1
110-Weekday-1-23WINT-1111100,20230316,1
110-Weekday-1-23WINT-1111100,20230317,1
110-Weekday-1-23WINT-1111100,20230320,1
110-Weekday-1-23WINT-1111100,20230321,1
110-Weekday-1-23WINT-1111100,20230322,1
110-Weekday-1-23WINT-1111100,20230323,1
110-Weekday-1-23WINT-1111100,20230324,1
110-Weekday-1-23WINT-1111100,20230327,1
110-Weekday-1-23WINT-1111100,20230328,1
110-Weekday-1-23WINT-1111100,20230329,1
110-Weekday-1-23WINT-1111100,20230330,1
110-Weekday-1-23WINT-1111100,20230331,1
110-Weekday-1-23WINT-1111100,20230403,1
110-Weekday-1-23WINT-1111100,20230404,1
110-Weekday-1-23WINT-1111100,20230405,1
110-Weekday-1-23WINT-1111100,20230406,1
110-Weekday-1-23WINT-1111100,20230410,1
110-Weekday-1-23WINT-1111100,20230411,1
110-Weekday-1-23WINT-1111100,20230412,1
110-Weekday-1-23WINT-1111100,20230413,1
110-Weekday-1-23WINT-1111100,20230414,1
110-Weekday-1-23WINT-1111100,20230417,1
110-Weekday-1-23WINT-1111100,20230418,1
110-Weekday-1-23WINT-1111100,20230419,1
110-Weekday-1-23WINT-1111100,20230420,1
110-Weekday-1-23WINT-1111100,20230421,1
12-Holiday1-1-23WINT-0000001,20230220,1
12-Holiday1-1-23WINT-0000001,20230407,1
12-Saturday-1-23WINT-0000010,20230121,1
12-Saturday-1-23WINT-0000010,20230128,1
12-Saturday-1-23WINT-0000010,20230204,1
12-Saturday-1-23WINT-0000010,20230211,1
12-Saturday-1-23WINT-0000010,20230218,1
12-Saturday-1-23WINT-0000010,20230225,1
12-Saturday-1-23WINT-0000010,20230304,1
12-Saturday-1-23WINT-0000010,20230311,1
12-Saturday-1-23WINT-0000010,20230318,1
12-Saturday-1-23WINT-0000010,20230325,1
12-Saturday-1-23WINT-0000010,20230401,1
12-Saturday-1-23WINT-0000010,20230408,1
12-Saturday-1-23WINT-0000010,20230415,1
12-Saturday-1-23WINT-0000010,20230422,1
